"Codigo Articulo","Descripción","Des.Marca","Familia","Sub-Familia","Unidad de stock"
"046267","BOLSO DEPORTIVO BARBIE2 DC07BFLC12","IASA","001","125","UNI"
"046268","BOLSO DEPORTIVO BARBIE3 DC07BFLD12","IASA","001","125","UNI"
"046269","BOLSO DEPORTIVO BARBIE4 DC07BFLF12","IASA","001","125","UNI"
"046270","PLASTILINA F.C JUMBO NEON PLPJN-12 CJAX12","FABER C.","001","166","UNI"
"046271","BOLIGRAFO  F.C TRILUX 032-M VERDE LIMON","FABER C.","001","018","UNI"
"046272","CARTERA BARBIE CHARM S TB001BCHS12","IASA","001","125","UNI"
"046273","BOLIGRAFO  F.C TRILUX 032-M ROSADO","FABER C.","001","018","UNI"
"046274","CARTERA BARBIE CHARM S TB002BCHS12","IASA","001","125","UNI"
"046275","CARTERA BARBIE CHARM S TB004BCHS12","IASA","001","125","UNI"
"046276","BOLIGRAFO  F.C TRILUX 032-M NARANJA","FABER C.","001","018","UNI"
"046277","CARTERA BARBIE CHARM S TB006BCHS12","IASA","001","125","UNI"
"046278","BOLIGRAFO  F.C TRILUX 032-M VIOLETA","FABER C.","001","018","UNI"
"046279","CARTERA BARBIE CHARM S TB005BCHS12","IASA","001","125","UNI"
"046280","BOLIGRAFO  F.C TRILUX 032-M CELESTE","FABER C.","001","018","UNI"
"046281","TRANSPORTADOR ESCOLAR 180 X 9","FABER C.","001","244","UNI"
"046282","CARTERA BARBIE FL TB007BFL12","IASA","001","125","UNI"
"046283","CARTERA BARBIE FL TB009BFL12","IASA","001","125","UNI"
"046284","CARTERA BARBIE FL TB010BFL12","IASA","001","125","UNI"
"046285","CARTERA BARBIE FL TB012BFL12","IASA","001","125","UNI"
"046286","CARTERA BARBIE FL TB013BFL12","IASA","001","125","UNI"
"046287","CARTERA BARBIE FL TB014BFL12","IASA","001","125","UNI"
"046288","CARTERA BARBIE FL TB015BFL12","IASA","001","125","UNI"
"046289","CARTERA BARBIE FL TB016BFL12","IASA","001","125","UNI"
"046290","CARTERA MONSTER HIGH  T005MOH12","IASA","001","125","UNI"
"046291","MALETIN BARBIE FL T1SG82BFL12","IASA","001","125","UNI"
"046292","MALETIN MONSTER HIGH TSG82MOH12","IASA","001","125","UNI"
"046293","BOLSO DEPORTIVO HOT WHEELS HW12JW246","IASA","001","125","UNI"
"046294","BOLSO SPIDERMAN DFBNAV11049","IASA","001","125","UNI"
"046295","CARTERA TINKERBELL DFBNAV11026","IASA","001","125","UNI"
"046296","BOLSA DE REGALO DISNEY B.LARGE DISBR11009","IASA","005","042","UNI"
"046297","GUANTES DE HILO CON PVC","S/M","888","888","PAR"
"046298","GUANTES DE NITRILO TALLA 10","S/M","888","888","PAR"
"046299","GUANTES DE CUERO CROMO","S/M","888","888","PAR"
"046300","TAPONES PARA EL OIDO TIPO CONO","S/M","888","888","UNI"
"046301","GUANTES DE NITRILO TALLA 9","S/M","888","888","PAR"
"046302","GUANTES DE CUERO BADANA","S/M","888","888","PAR"
"046303","BOLSA DE REGALO BARBIE PURPLE LARGE","IASA","005","042","UNI"
"046304","BOLSA DE REGALO BARBIE STANDAR SMALL","IASA","005","042","UNI"
"046305","BOLSA DE REGALO BARBIE PURPLE MEDIUM","IASA","005","042","UNI"
"046306","BOLSA DE REGALO BARBIE PURPLE SMALL","IASA","005","042","UNI"
